# time [s]     intensity
521.627935    0.690027
521.632296    1.877458
521.636657    0.658968
521.641017    0.418129
521.645378    0.284090
521.649739    -0.070679
521.654100    0.463557
521.658460    -0.287963
521.662821    0.922855
521.667182    0.530140
521.671543    -0.444619
521.675903    -1.493706
521.680264    1.609523
521.684625    -1.935763
521.688986    -0.939962
521.693346    -0.583952
521.697707    0.572330
521.702068    1.480026
521.706429    0.085618
521.710789    0.338975
521.715150    -0.061942
521.719511    -0.586254
521.723872    0.489974
521.728232    0.531219
521.732593    0.877002
521.736954    0.502424
521.741315    -0.862546
521.745675    -0.030576
521.750036    -0.489260
521.754397    -1.574620
521.758758    -0.992688
521.763118    1.356652
521.767479    0.602152
521.771840    0.675032
521.776200    -0.095573
521.780561    -0.430046
521.784922    -0.609047
521.789283    -0.303227
521.793643    -1.222290
521.798004    1.597879
521.802365    0.459512
521.806726    0.350111
521.811086    -0.930990
521.815447    1.467355
521.819808    -0.047385
521.824169    -0.183439
521.828529    0.034292
521.832890    -0.722657
521.837251    -1.418071
521.841612    -0.573602
521.845972    0.512491
521.850333    -0.411523
521.854694    -0.279252
521.859055    -1.889578
521.863415    -0.938763
521.867776    0.759538
521.872137    1.312259
521.876498    -1.400775
521.880858    0.601434
521.885219    0.051149
521.889580    -0.259474
521.893941    -0.246935
521.898301    1.742810
521.902662    0.099165
521.907023    1.580493
521.911384    2.084515
521.915744    -1.368633
521.920105    0.134017
521.924466    -0.676293
521.928827    0.448796
521.933187    -1.040610
521.937548    0.555291
521.941909    -0.352160
521.946270    -0.525622
521.950630    1.319385
521.954991    -0.026182
521.959352    0.195317
521.963713    -0.355449
521.968073    0.971414
521.972434    1.426676
521.976795    -0.016964
521.981156    -0.063437
521.985516    0.262511
521.989877    0.186027
521.994238    2.076341
521.998598    -0.175320
522.002959    0.116465
522.007320    0.832959
522.011681    1.091976
522.016041    -0.031003
522.020402    0.803158
522.024763    0.093230
522.029124    -0.289800
522.033484    -0.039197
522.037845    -1.020334
522.042206    0.327394
522.046567    1.665253
522.050927    1.603665
522.055288    0.878009
522.059649    -0.102254
522.064010    -0.371594
522.068370    1.866113
522.072731    0.251582
522.077092    1.010301
522.081453    0.361208
522.085813    1.490191
522.090174    1.697068
522.094535    2.582306
522.098896    1.387377
522.103256    0.090176
522.107617    1.990302
522.111978    0.755005
522.116339    1.624842
522.120699    0.456920
522.125060    1.089164
522.129421    0.982750
522.133782    0.294371
522.138142    2.017843
522.142503    1.132805
522.146864    1.610040
522.151225    1.608029
522.155585    1.362578
522.159946    2.993047
522.164307    0.468680
522.168668    2.502478
522.173028    2.126706
522.177389    1.443770
522.181750    3.558592
522.186111    1.787549
522.190471    1.650964
522.194832    2.856219
522.199193    1.960532
522.203553    2.032740
522.207914    2.479534
522.212275    1.741704
522.216636    2.355232
522.220996    2.174854
522.225357    2.724043
522.229718    1.536089
522.234079    2.023287
522.238439    1.759492
522.242800    2.703863
522.247161    2.731901
522.251522    2.745993
522.255882    1.561635
522.260243    1.867121
522.264604    3.510184
522.268965    0.674372
522.273325    2.627260
522.277686    1.990205
522.282047    3.520607
522.286408    2.932334
522.290768    2.267498
522.295129    0.699123
522.299490    2.361509
522.303851    2.169435
522.308211    2.687984
522.312572    2.457217
522.316933    2.207871
522.321294    0.616597
522.325654    1.141106
522.330015    2.374442
522.334376    1.808763
522.338737    1.753762
522.343097    0.542098
522.347458    2.026818
522.351819    1.088103
522.356180    3.103614
522.360540    0.228710
522.364901    0.044239
522.369262    2.302664
522.373623    -0.002840
522.377983    1.181636
522.382344    1.627197
522.386705    1.037397
522.391066    1.147863
522.395426    -0.447623
522.399787    0.997246
522.404148    0.889652
522.408508    0.527789
522.412869    2.039449
522.417230    0.828896
522.421591    0.257124
522.425951    -0.164244
522.430312    2.107471
522.434673    0.002688
522.439034    0.502227
522.443394    0.071576
522.447755    0.126828
522.452116    0.867723
522.456477    1.261680
522.460837    1.420044
522.465198    0.486156
522.469559    -0.061074
522.473920    2.382776
522.478280    0.722152
522.482641    -0.134407
522.487002    0.234192
522.491363    1.132730
522.495723    -2.015891
522.500084    -1.741901
522.504445    -2.094202
522.508806    0.917194
522.513166    0.115232
522.517527    0.212014
522.521888    0.926380
522.526249    -0.669568
522.530609    0.740167
522.534970    1.382648
522.539331    0.883045
522.543692    -0.672759
522.548052    0.021429
522.552413    0.820511
522.556774    0.334708
522.561135    -1.167278
522.565495    -0.166448
522.569856    -0.813616
522.574217    0.010098
522.578578    0.126155
522.582938    0.143115
522.587299    0.150136
522.591660    -0.690764
522.596021    0.330255
522.600381    -0.069267
522.604742    0.248250
522.609103    0.080015
522.613464    -0.531044
522.617824    -2.157963
522.622185    -0.349018
522.626546    0.251709
522.630906    0.695744
522.635267    -0.375492
522.639628    -0.556072
522.643989    1.342336
522.648349    -0.540222
522.652710    0.452672
522.657071    0.732212
522.661432    -0.512750
522.665792    -0.374034
522.670153    -1.348841
522.674514    0.317294
522.678875    0.215154
522.683235    0.092022
522.687596    -0.086962
522.691957    0.763304
522.696318    -1.728782
522.700678    0.168913
522.705039    1.050158
522.709400    -0.328137
522.713761    -0.582569
522.718121    0.276926
522.722482    -0.089509
522.726843    0.271473
522.731204    -2.567004
522.735564    1.120479
522.739925    0.037229
522.744286    0.762212
522.748647    -0.130963
522.753007    -0.014096
522.757368    1.341758
522.761729    0.031289
522.766090    -0.462642
522.770450    -0.112582
522.774811    0.414939
522.779172    -0.038040
522.783533    -0.281943
522.787893    1.098698
522.792254    0.473438
522.796615    -2.235961
522.800976    0.372704
522.805336    1.117735
522.809697    -1.034080
522.814058    -0.072044
522.818419    0.527974
522.822779    0.981666
522.827140    0.609762
522.831501    0.738657
522.835861    1.061981
522.840222    1.794310
522.844583    -0.899300
522.848944    -1.059537
522.853304    0.212889
522.857665    0.666932
522.862026    -0.124555
522.866387    1.226442
522.870747    0.614489
522.875108    0.359313
522.879469    0.219321
522.883830    0.392519
522.888190    -1.020225
522.892551    0.065415
522.896912    -0.731267
522.901273    0.008029
522.905633    0.295468
522.909994    0.899512
522.914355    0.166333
522.918716    0.845902
522.923076    -1.405221
522.927437    2.191570
522.931798    -0.576192
522.936159    -0.508692
522.940519    -1.078607
522.944880    -0.223047
522.949241    -0.394733
522.953602    -0.948989
522.957962    -0.772048
522.962323    -0.520043
522.966684    1.377471
522.971045    -1.074253
522.975405    -0.438788
522.979766    -1.276663
522.984127    -0.032599
522.988488    0.143161
522.992848    0.763102
522.997209    -0.367373
523.001570    -0.974644
523.005931    -0.131262
523.010291    0.447480
523.014652    1.113317
523.019013    0.963377
523.023374    0.321015
523.027734    -0.719457
523.032095    0.269180
523.036456    0.404013
523.040816    -0.445350
523.045177    1.115032
523.049538    0.225559
523.053899    -0.173703
523.058259    -0.125196
523.062620    -0.051836
523.066981    -1.107557
523.071342    0.935954
523.075702    -1.176677
523.080063    0.051413
523.084424    -0.332450
523.088785    -0.695414
523.093145    0.903348
523.097506    0.686260
523.101867    0.481683
523.106228    -1.079440
523.110588    0.171253
523.114949    0.493853
523.119310    -1.314952
523.123671    0.126810
523.128031    0.927297
523.132392    -0.253220
523.136753    0.114779
523.141114    0.504036
523.145474    -0.249548
523.149835    -1.375532
523.154196    -0.299853
523.158557    -0.831378
523.162917    1.083451
523.167278    -0.047684
523.171639    1.041581
523.176000    -0.646452
523.180360    -0.417497
523.184721    -0.599225
523.189082    -0.731060
523.193443    0.041399
523.197803    -0.694168
523.202164    0.060331
523.206525    -0.237935
523.210886    -0.271204
523.215246    -0.831105
523.219607    -0.432967
523.223968    0.034417
523.228329    -0.196746
523.232689    -1.229648
523.237050    -1.846078
523.241411    0.479036
523.245772    -0.535119
523.250132    -0.017293
523.254493    1.870897
523.258854    0.580184
523.263214    -0.260380
523.267575    -1.344606
523.271936    0.515425
523.276297    -0.457935
523.280657    -1.197028
523.285018    -0.378477
523.289379    0.811053
523.293740    -0.474694
523.298100    -0.774750
523.302461    -1.142019
523.306822    -0.767778
523.311183    -0.272464
523.315543    -0.151445
523.319904    -0.449835
523.324265    -1.622606
523.328626    -1.151426
523.332986    1.471373
523.337347    0.784327
523.341708    0.196361
523.346069    -0.329784
523.350429    -0.504902
523.354790    -1.836867
523.359151    0.255749
523.363512    0.499256
523.367872    0.252378
523.372233    0.749585
523.376594    0.743463
523.380955    0.169081
523.385315    0.528332
523.389676    -0.204060
523.394037    -0.752229
523.398398    -0.521307
523.402758    0.841553
523.407119    -0.768680
523.411480    -0.069733
523.415841    -0.911795
523.420201    0.272928
523.424562    -0.268718
523.428923    0.103633
523.433284    0.065430
523.437644    -0.020668
523.442005    -0.981126
523.446366    -0.681221
523.450727    -0.805369
523.455087    -0.210732
523.459448    0.206274
523.463809    1.179817
523.468169    0.980234
523.472530    0.787060
523.476891    -1.049975
523.481252    -0.591431
523.485612    0.130198
523.489973    -0.437499
523.494334    0.097661
523.498695    0.132513
523.503055    -0.307229
523.507416    0.606285
523.511777    -0.943672
523.516138    -0.811048
523.520498    -1.066896
523.524859    0.638344
523.529220    -0.418094
523.533581    0.803327
523.537941    1.682001
523.542302    0.677330
523.546663    1.945516
523.551024    0.352134
523.555384    0.661345
523.559745    0.612478
523.564106    0.377563
523.568467    -0.316216
523.572827    -0.117096
523.577188    0.988261
523.581549    0.100217
523.585910    0.511471
523.590270    -0.431753
523.594631    0.813639
523.598992    0.998286
523.603353    -1.086633
523.607713    -0.975764
523.612074    2.066724
523.616435    -0.432409
523.620796    0.745984
523.625156    -0.768002
523.629517    -0.423355
523.633878    -0.179346
523.638239    1.320867
523.642599    -0.399383
523.646960    -0.152047
523.651321    1.457181
523.655682    1.029606
523.660042    0.278247
523.664403    0.438224
523.668764    -0.860609
523.673124    0.094183
523.677485    -0.350570
523.681846    0.877380
523.686207    0.071640
523.690567    0.438780
523.694928    -0.365414
523.699289    1.509909
523.703650    -0.210401
523.708010    -0.290174
523.712371    1.808341
523.716732    -0.936887
523.721093    -0.534661
523.725453    -0.300759
523.729814    -0.406288
523.734175    -1.039773
523.738536    1.062107
523.742896    -0.116272
523.747257    -1.169539
523.751618    0.874577
523.755979    -0.617623
523.760339    -1.117054
523.764700    0.812122
523.769061    0.475886
523.773422    -0.951459
523.777782    1.293216
523.782143    1.729290
523.786504    0.587516
523.790865    -0.186302
523.795225    -0.165144
523.799586    -0.155957
523.803947    -0.024880
